GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
1098128611,Descent2e,3,ROUND_OVER,248,9,4,6,8,1,7,2,2,12,,2,,13,Dead,3,,8
1098128611,Descent2e,4,GAME_OVER,249,0,4,6,8,1,7,2,2,12,,2,,13,Dead,3,,8
726075031,Descent2e,0,ROUND_OVER,103,10,4,7,7,4,1,2,2,10,,2,,8,6,6,,8
726075031,Descent2e,1,ROUND_OVER,137,9,4,7,7,4,3,2,2,10,,2,,5,Dead,6,,8
726075031,Descent2e,2,ROUND_OVER,164,8,4,7,7,4,5,2,2,10,,2,,5,Dead,Dead,,6
726075031,Descent2e,3,ROUND_OVER,187,8,4,7,7,4,7,2,2,10,,2,,5,Dead,Dead,,6
726075031,Descent2e,4,GAME_OVER,189,0,4,7,7,4,7,2,2,10,,2,,5,Dead,Dead,,6
1949019889,Descent2e,0,ROUND_OVER,114,10,4,8,12,4,1,2,2,0,,2,,10,6,6,,8
1949019889,Descent2e,1,ROUND_OVER,135,9,4,8,12,4,3,2,2,5,,2,,3,Dead,6,,8
1949019889,Descent2e,2,ROUND_OVER,161,9,4,8,11,4,5,2,2,5,,2,,0,Dead,2,,8
1949019889,Descent2e,3,ROUND_OVER,186,8,4,8,11,4,7,2,2,5,,2,,1,Dead,Dead,,8
1949019889,Descent2e,4,GAME_OVER,187,0,4,8,11,4,7,2,2,5,,2,,1,Dead,Dead,,8
-868400014,Descent2e,0,ROUND_OVER,119,10,4,9,12,4,1,2,2,8,,2,,10,4,6,,8
-868400014,Descent2e,1,ROUND_OVER,160,9,4,9,12,4,3,2,2,8,,2,,10,Dead,6,,8
-868400014,Descent2e,2,ROUND_OVER,205,9,4,9,12,4,5,2,2,8,,2,,10,Dead,6,,8
-868400014,Descent2e,3,ROUND_OVER,244,9,4,9,12,4,7,2,2,8,,2,,10,Dead,4,,8
-868400014,Descent2e,4,GAME_OVER,245,0,4,9,12,4,7,2,2,8,,2,,10,Dead,4,,8
1658705723,Descent2e,0,ROUND_OVER,88,10,4,10,12,4,1,2,2,8,,2,,14,6,6,,8
1658705723,Descent2e,1,ROUND_OVER,144,10,4,10,10,4,3,2,2,5,,2,,14,3,6,,8
1658705723,Descent2e,2,ROUND_OVER,186,10,4,10,12,4,5,2,2,4,,2,,14,3,6,,8
1658705723,Descent2e,3,ROUND_OVER,231,10,4,10,7,4,7,2,2,3,,2,,14,3,6,,8
1658705723,Descent2e,4,GAME_OVER,232,0,4,10,7,4,7,2,2,3,,2,,14,3,6,,8
-1459022739,Descent2e,0,ROUND_OVER,123,10,4,11,8,4,1,2,2,8,,2,,8,6,6,,8
-1459022739,Descent2e,1,ROUND_OVER,158,10,4,11,8,4,3,2,2,8,,2,,9,6,6,,8
-1459022739,Descent2e,2,ROUND_OVER,206,10,4,11,8,4,5,2,2,8,,2,,5,6,5,,8
-1459022739,Descent2e,3,ROUND_OVER,251,10,4,11,8,4,7,2,2,4,,2,,1,6,4,,8
-1459022739,Descent2e,4,GAME_OVER,252,0,4,11,8,4,7,2,2,4,,2,,1,6,4,,8
686380075,Descent2e,0,ROUND_OVER,97,9,4,12,5,4,1,2,2,5,,2,,13,6,6,,8
686380075,Descent2e,1,ROUND_OVER,142,10,4,12,1,4,3,2,2,5,,2,,10,4,4,,8
686380075,Descent2e,2,ROUND_OVER,200,10,4,12,0,4,5,2,2,7,,2,,10,3,4,,8
686380075,Descent2e,3,ROUND_OVER,238,10,4,12,3,4,7,2,2,9,,2,,10,3,4,,8
686380075,Descent2e,4,GAME_OVER,240,0,4,12,3,4,7,2,2,9,,2,,10,3,4,,8
-1832735679,Descent2e,0,ROUND_OVER,97,10,4,13,8,4,1,2,2,14,,2,,12,6,6,,8
-1832735679,Descent2e,1,ROUND_OVER,130,9,4,13,8,4,3,2,2,14,,2,,12,Dead,6,,8
-1832735679,Descent2e,2,ROUND_OVER,164,9,4,13,8,4,5,2,2,10,,2,,12,Dead,6,,8
-1832735679,Descent2e,3,ROUND_OVER,207,9,4,13,8,4,7,2,2,12,,2,,12,Dead,6,,8
-1832735679,Descent2e,4,GAME_OVER,208,0,4,13,8,4,7,2,2,12,,2,,12,Dead,6,,8
-170836685,Descent2e,0,ROUND_OVER,89,9,4,14,8,4,1,2,2,14,,2,,10,6,6,,6
-170836685,Descent2e,1,ROUND_OVER,127,9,4,14,8,4,3,2,2,9,,2,,12,6,6,,6
-170836685,Descent2e,2,ROUND_OVER,167,9,4,14,8,4,5,2,2,5,,2,,12,6,6,,3
-170836685,Descent2e,3,ROUND_OVER,217,9,4,14,8,4,7,2,2,7,,2,,8,6,6,,Dead
-170836685,Descent2e,4,GAME_OVER,218,0,4,14,8,4,7,2,2,7,,2,,8,6,6,,Dead
192253389,Descent2e,0,ROUND_OVER,105,10,4,15,10,4,1,2,2,10,,2,,9,6,6,,8
192253389,Descent2e,1,ROUND_OVER,158,10,4,15,10,2,3,2,2,4,,2,,9,6,6,,8
192253389,Descent2e,2,ROUND_OVER,207,9,4,15,10,4,5,2,2,2,,2,,5,6,6,,8
192253389,Descent2e,3,ROUND_OVER,262,10,4,15,10,4,7,2,2,2,,2,,5,6,6,,5
192253389,Descent2e,4,GAME_OVER,263,0,4,15,10,4,7,2,2,2,,2,,5,6,6,,5
-1288883639,Descent2e,0,ROUND_OVER,88,10,4,16,12,4,1,2,2,8,,2,,7,6,6,,8
-1288883639,Descent2e,1,ROUND_OVER,135,9,4,16,10,4,3,2,2,7,,2,,10,6,6,,8
-1288883639,Descent2e,2,ROUND_OVER,199,10,4,16,7,4,5,2,2,3,,2,,10,6,6,,7
-1288883639,Descent2e,3,ROUND_OVER,243,10,4,16,8,4,7,2,2,0,,2,,10,6,6,,7
-1288883639,Descent2e,4,GAME_OVER,244,0,4,16,8,4,7,2,2,0,,2,,10,6,6,,7
495210545,Descent2e,0,ROUND_OVER,97,10,4,17,0,4,0,2,2,10,,2,,5,6,6,,8
495210545,Descent2e,1,ROUND_OVER,140,10,4,17,0,4,1,2,2,8,,2,,1,6,6,,2
495210545,Descent2e,2,ROUND_OVER,183,9,4,17,5,4,3,2,2,8,,2,,0,2,6,,Dead
495210545,Descent2e,3,ROUND_OVER,211,9,4,17,5,4,5,2,2,0,,2,,5,2,6,,Dead
495210545,Descent2e,4,ROUND_OVER,238,9,4,17,5,4,7,2,2,0,,2,,5,2,5,,Dead
495210545,Descent2e,5,GAME_OVER,239,0,4,17,5,4,7,2,2,0,,2,,5,2,5,,Dead
623067577,Descent2e,0,ROUND_OVER,98,10,4,18,6,4,0,2,2,8,,2,,6,3,6,,8
623067577,Descent2e,1,ROUND_OVER,140,9,4,18,4,4,1,2,2,8,,2,,6,Dead,6,,8
623067577,Descent2e,2,ROUND_OVER,165,9,4,18,4,4,3,2,2,8,,2,,6,Dead,2,,8
623067577,Descent2e,3,ROUND_OVER,192,8,4,18,4,4,5,2,2,7,,2,,6,Dead,Dead,,8
623067577,Descent2e,4,ROUND_OVER,222,8,4,18,4,4,7,2,2,6,,2,,6,Dead,Dead,,3
623067577,Descent2e,5,GAME_OVER,223,0,4,18,4,4,7,2,2,6,,2,,6,Dead,Dead,,3
1348299175,Descent2e,0,ROUND_OVER,102,10,4,19,12,4,1,2,2,10,,2,,14,6,6,,8
1348299175,Descent2e,1,ROUND_OVER,148,10,4,19,12,4,3,2,2,10,,2,,14,6,6,,4
1348299175,Descent2e,2,ROUND_OVER,197,10,4,19,12,4,5,2,2,10,,2,,14,6,6,,4
1348299175,Descent2e,3,ROUND_OVER,249,10,4,19,12,4,7,2,2,10,,2,,14,6,6,,4
1348299175,Descent2e,4,GAME_OVER,250,0,4,19,12,4,7,2,2,10,,2,,14,6,6,,4
-371345131,Descent2e,0,ROUND_OVER,121,10,4,20,10,4,1,2,2,4,,2,,12,6,2,,8
-371345131,Descent2e,1,ROUND_OVER,161,10,4,20,5,4,3,2,2,2,,2,,12,6,2,,8
-371345131,Descent2e,2,ROUND_OVER,207,9,4,20,8,4,5,2,2,2,,2,,12,Dead,2,,8
-371345131,Descent2e,3,ROUND_OVER,245,9,4,20,8,4,7,2,2,2,,2,,12,Dead,2,,8
-371345131,Descent2e,4,GAME_OVER,247,0,4,20,5,4,7,2,2,2,,2,,12,Dead,2,,8
1431328153,Descent2e,0,ROUND_OVER,100,10,4,21,12,4,1,2,2,6,,2,,12,6,6,,8
1431328153,Descent2e,1,ROUND_OVER,145,10,4,21,12,4,3,2,2,10,,2,,7,6,6,,8
1431328153,Descent2e,2,ROUND_OVER,185,10,4,21,12,4,5,2,2,6,,2,,7,4,6,,8
1431328153,Descent2e,3,ROUND_OVER,225,10,4,21,11,4,7,2,2,6,,2,,9,4,6,,8
1431328153,Descent2e,4,GAME_OVER,226,0,4,21,11,4,7,2,2,6,,2,,9,4,6,,8
-538768873,Descent2e,0,ROUND_OVER,100,10,4,22,7,4,1,2,2,12,,2,,12,6,6,,8
-538768873,Descent2e,1,ROUND_OVER,141,9,4,22,10,4,3,2,2,9,,2,,9,Dead,6,,8
-538768873,Descent2e,2,ROUND_OVER,176,9,4,22,10,4,5,2,2,7,,2,,8,Dead,2,,8
-538768873,Descent2e,3,ROUND_OVER,213,8,4,22,10,4,7,2,2,8,,2,,9,Dead,Dead,,8
-538768873,Descent2e,4,GAME_OVER,214,0,4,22,10,4,7,2,2,8,,2,,9,Dead,Dead,,8
-131927630,Descent2e,0,ROUND_OVER,108,10,4,23,8,4,1,2,2,14,,2,,10,6,6,,8
-131927630,Descent2e,1,ROUND_OVER,141,10,4,23,5,4,3,2,2,14,,2,,10,6,6,,8
-131927630,Descent2e,2,ROUND_OVER,197,10,4,23,0,4,5,2,2,14,,2,,10,6,3,,8
-131927630,Descent2e,3,ROUND_OVER,236,10,4,23,3,4,7,2,2,14,,2,,10,6,3,,8
-131927630,Descent2e,4,GAME_OVER,237,0,4,23,3,4,7,2,2,14,,2,,10,6,3,,8
625973931,Descent2e,0,ROUND_OVER,131,10,4,24,8,4,1,2,2,10,,2,,10,6,6,,8
625973931,Descent2e,1,ROUND_OVER,170,10,4,24,8,4,3,2,2,7,,2,,10,6,6,,3
625973931,Descent2e,2,ROUND_OVER,202,9,4,24,6,4,5,2,2,7,,2,,10,3,3,,Dead
625973931,Descent2e,3,ROUND_OVER,237,8,4,24,6,4,7,2,2,3,,2,,10,Dead,1,,Dead
625973931,Descent2e,4,GAME_OVER,238,0,4,24,6,4,7,2,2,3,,2,,10,Dead,1,,Dead
-2122080756,Descent2e,0,ROUND_OVER,109,10,4,25,14,4,1,2,2,10,,2,,6,6,4,,8
-2122080756,Descent2e,1,ROUND_OVER,149,10,4,25,14,4,3,2,2,10,,2,,6,6,4,,8
-2122080756,Descent2e,2,ROUND_OVER,194,9,4,25,14,4,5,2,2,8,,2,,8,Dead,6,,8
-2122080756,Descent2e,3,ROUND_OVER,238,9,4,25,14,4,7,2,2,10,,2,,8,Dead,6,,8
-2122080756,Descent2e,4,GAME_OVER,239,0,4,25,14,4,7,2,2,10,,2,,8,Dead,6,,8
-12038281,Descent2e,0,ROUND_OVER,121,10,4,26,8,4,1,2,2,8,,2,,12,6,6,,8
-12038281,Descent2e,1,ROUND_OVER,160,9,4,26,12,4,3,2,2,8,,2,,10,Dead,4,,8
-12038281,Descent2e,2,ROUND_OVER,178,8,4,26,10,4,5,2,2,8,,2,,10,Dead,Dead,,5
-12038281,Descent2e,3,GAME_OVER,186,1,4,26,10,4,5,2,2,8,,2,,10,Dead,Dead,,Dead
-1249517663,Descent2e,0,ROUND_OVER,96,10,4,27,12,4,1,2,2,8,,2,,10,6,6,,8
-1249517663,Descent2e,1,ROUND_OVER,153,10,4,27,12,4,3,2,2,8,,2,,10,6,6,,8
-1249517663,Descent2e,2,ROUND_OVER,203,10,4,27,12,4,5,2,2,8,,2,,10,6,6,,8
-1249517663,Descent2e,3,ROUND_OVER,242,10,4,27,12,4,7,2,2,8,,2,,10,6,3,,8
-1249517663,Descent2e,4,GAME_OVER,244,0,4,27,12,4,7,2,2,8,,2,,10,6,3,,8
2136666787,Descent2e,0,ROUND_OVER,114,10,4,28,10,4,1,2,2,4,,2,,12,6,6,,8
2136666787,Descent2e,1,ROUND_OVER,167,10,4,28,7,4,3,2,2,4,,2,,12,5,6,,8
2136666787,Descent2e,2,ROUND_OVER,217,10,4,28,3,4,5,2,2,4,,2,,12,4,6,,8
2136666787,Descent2e,3,ROUND_OVER,263,10,4,28,3,4,7,2,2,4,,2,,12,4,6,,8
2136666787,Descent2e,4,GAME_OVER,265,0,4,28,1,4,7,2,2,4,,2,,12,4,6,,8
-546977367,Descent2e,0,ROUND_OVER,87,10,4,29,11,4,0,2,2,10,,2,,2,6,6,,8
-546977367,Descent2e,1,ROUND_OVER,139,10,4,29,11,4,1,2,2,10,,2,,2,5,6,,8
-546977367,Descent2e,2,ROUND_OVER,182,9,4,29,11,4,3,2,2,10,,2,,2,Dead,3,,8
-546977367,Descent2e,3,ROUND_OVER,205,8,4,29,11,4,5,2,2,7,,2,,2,Dead,Dead,,3
-546977367,Descent2e,4,GAME_OVER,210,0,4,29,9,4,5,2,2,7,,2,,2,Dead,Dead,,Dead
1617417385,Descent2e,0,ROUND_OVER,99,9,4,30,8,4,1,2,2,14,,2,,6,6,6,,8
1617417385,Descent2e,1,ROUND_OVER,148,10,4,30,8,4,3,2,2,14,,2,,6,6,2,,8
1617417385,Descent2e,2,ROUND_OVER,191,9,4,30,8,4,5,2,2,14,,2,,7,Dead,6,,8
1617417385,Descent2e,3,ROUND_OVER,234,9,4,30,8,4,7,2,2,14,,2,,8,Dead,6,,4
1617417385,Descent2e,4,GAME_OVER,236,0,4,30,8,4,7,2,2,14,,2,,8,Dead,6,,4
167221652,Descent2e,0,ROUND_OVER,127,10,4,31,12,4,1,2,2,8,,2,,10,6,6,,8
167221652,Descent2e,1,ROUND_OVER,158,10,4,31,11,4,3,2,2,6,,2,,10,6,6,,8
167221652,Descent2e,2,ROUND_OVER,203,10,4,31,10,4,5,2,2,6,,2,,10,6,6,,8
167221652,Descent2e,3,ROUND_OVER,255,10,4,31,9,4,7,2,2,6,,2,,7,6,6,,8
167221652,Descent2e,4,GAME_OVER,256,0,4,31,9,4,7,2,2,6,,2,,7,6,6,,8
1685666676,Descent2e,0,ROUND_OVER,77,10,4,32,12,4,1,2,2,14,,2,,6,6,6,,8
1685666676,Descent2e,1,ROUND_OVER,150,10,4,32,12,4,3,2,2,14,,2,,5,2,6,,8
1685666676,Descent2e,2,ROUND_OVER,174,10,4,32,12,4,5,2,2,12,,2,,5,2,6,,8
1685666676,Descent2e,3,ROUND_OVER,218,9,4,32,12,4,7,2,2,14,,2,,5,Dead,6,,8
1685666676,Descent2e,4,GAME_OVER,219,0,4,32,12,4,7,2,2,14,,2,,5,Dead,6,,8
1184008882,Descent2e,0,ROUND_OVER,99,9,4,33,10,4,1,2,2,14,,2,,5,6,6,,8
1184008882,Descent2e,1,ROUND_OVER,155,9,4,33,10,4,3,2,2,14,,2,,5,Dead,6,,8
1184008882,Descent2e,2,ROUND_OVER,206,9,4,33,10,4,5,2,2,14,,2,,2,Dead,4,,8
1184008882,Descent2e,3,ROUND_OVER,237,8,4,33,10,4,7,2,2,14,,2,,2,Dead,Dead,,8
1184008882,Descent2e,4,GAME_OVER,239,0,4,33,10,4,7,2,2,14,,2,,2,Dead,Dead,,8
-359467998,Descent2e,0,ROUND_OVER,118,10,4,34,10,4,1,2,2,12,,2,,7,6,6,,8
-359467998,Descent2e,1,ROUND_OVER,150,10,4,34,9,4,3,2,2,12,,2,,4,4,6,,3
-359467998,Descent2e,2,ROUND_OVER,195,10,4,34,9,4,5,2,2,12,,2,,4,2,6,,2
-359467998,Descent2e,3,ROUND_OVER,230,8,4,34,10,4,7,2,2,12,,2,,4,Dead,6,,Dead
-359467998,Descent2e,4,GAME_OVER,231,0,4,34,10,4,7,2,2,12,,2,,4,Dead,6,,Dead
965886417,Descent2e,0,ROUND_OVER,114,10,4,35,12,4,1,2,2,7,,2,,10,6,6,,8
965886417,Descent2e,1,ROUND_OVER,144,10,4,35,9,4,3,2,2,7,,2,,10,6,6,,5
965886417,Descent2e,2,ROUND_OVER,195,10,4,35,7,4,5,2,2,7,,2,,10,6,6,,1
965886417,Descent2e,3,ROUND_OVER,234,9,4,35,9,4,7,2,2,7,,2,,10,6,6,,Dead
965886417,Descent2e,4,GAME_OVER,236,0,4,35,6,4,7,2,2,7,,2,,10,6,6,,Dead
-33376745,Descent2e,0,ROUND_OVER,123,10,4,36,8,4,1,2,2,12,,2,,10,6,6,,8
-33376745,Descent2e,1,ROUND_OVER,162,10,4,36,8,4,3,2,2,12,,2,,7,6,4,,4
-33376745,Descent2e,2,ROUND_OVER,192,9,4,36,8,4,5,2,2,8,,2,,7,6,4,,Dead
-33376745,Descent2e,3,ROUND_OVER,224,9,4,36,8,4,7,2,2,7,,2,,7,6,2,,Dead
-33376745,Descent2e,4,GAME_OVER,225,0,4,36,8,4,7,2,2,7,,2,,7,6,2,,Dead
1399594587,Descent2e,0,ROUND_OVER,108,10,4,37,10,4,1,2,2,6,,2,,10,6,6,,8
1399594587,Descent2e,1,ROUND_OVER,145,10,4,37,10,4,3,2,2,1,,2,,10,6,6,,7
1399594587,Descent2e,2,ROUND_OVER,186,10,4,37,10,4,5,2,2,1,,2,,10,6,6,,6
1399594587,Descent2e,3,ROUND_OVER,226,10,4,37,10,4,7,2,2,1,,2,,10,6,6,,1
1399594587,Descent2e,4,GAME_OVER,227,0,4,37,10,4,7,2,2,1,,2,,10,6,6,,1
-1240233401,Descent2e,0,ROUND_OVER,108,10,4,38,7,4,0,2,2,10,,2,,10,6,6,,8
-1240233401,Descent2e,1,ROUND_OVER,156,10,4,38,4,4,1,2,2,4,,2,,10,6,6,,8
-1240233401,Descent2e,2,ROUND_OVER,205,10,4,38,2,4,3,2,2,4,,2,,8,6,6,,8
-1240233401,Descent2e,3,ROUND_OVER,244,10,4,38,2,4,5,2,2,4,,2,,8,6,6,,8
-1240233401,Descent2e,4,ROUND_OVER,282,10,4,38,6,4,7,2,2,4,,2,,8,6,3,,8
-1240233401,Descent2e,5,GAME_OVER,284,0,4,38,6,4,7,2,2,4,,2,,8,6,3,,8
-1941664333,Descent2e,0,ROUND_OVER,107,10,4,39,8,4,0,2,2,9,,2,,4,6,6,,8
-1941664333,Descent2e,1,ROUND_OVER,148,9,4,39,6,4,1,2,2,2,,2,,4,Dead,4,,8
-1941664333,Descent2e,2,ROUND_OVER,171,8,4,39,6,4,3,2,2,2,,2,,4,Dead,Dead,,7
-1941664333,Descent2e,3,ROUND_OVER,199,8,4,39,2,4,5,2,2,2,,2,,4,Dead,Dead,,2
-1941664333,Descent2e,4,GAME_OVER,201,0,4,39,2,4,5,2,2,2,,2,,4,Dead,Dead,,Dead
367536106,Descent2e,0,ROUND_OVER,80,10,4,40,10,4,0,2,2,8,,2,,13,6,6,,8
367536106,Descent2e,1,ROUND_OVER,136,10,4,40,10,4,1,2,2,8,,2,,10,6,3,,8
367536106,Descent2e,2,ROUND_OVER,195,10,4,40,8,4,3,2,2,8,,2,,13,6,3,,8
367536106,Descent2e,3,ROUND_OVER,242,10,4,40,9,4,5,2,2,7,,2,,13,6,3,,8
367536106,Descent2e,4,ROUND_OVER,288,10,4,40,9,4,7,2,2,3,,2,,13,6,3,,8
367536106,Descent2e,5,GAME_OVER,290,0,4,40,9,4,7,2,2,3,,2,,11,6,3,,8
66846436,Descent2e,0,ROUND_OVER,117,10,4,41,6,4,1,2,2,14,,2,,12,6,4,,8
66846436,Descent2e,1,ROUND_OVER,147,9,4,41,8,4,3,2,2,11,,2,,10,Dead,6,,8
66846436,Descent2e,2,ROUND_OVER,165,8,4,41,8,4,5,2,2,10,,2,,11,Dead,Dead,,6
66846436,Descent2e,3,ROUND_OVER,184,8,4,41,8,4,7,2,2,10,,2,,12,Dead,Dead,,3
66846436,Descent2e,4,GAME_OVER,185,0,4,41,8,4,7,2,2,10,,2,,12,Dead,Dead,,3
977649644,Descent2e,0,ROUND_OVER,104,10,4,42,8,4,1,2,2,7,,2,,12,6,6,,8
977649644,Descent2e,1,ROUND_OVER,141,9,4,42,8,4,3,2,2,7,,2,,12,6,4,,8
977649644,Descent2e,2,ROUND_OVER,175,10,4,42,8,4,5,2,2,7,,2,,10,6,3,,8
977649644,Descent2e,3,ROUND_OVER,213,10,4,42,8,4,7,2,2,7,,2,,10,6,3,,8
977649644,Descent2e,4,GAME_OVER,214,0,4,42,8,4,7,2,2,7,,2,,10,6,3,,8
1148164066,Descent2e,0,ROUND_OVER,89,10,4,43,8,4,0,2,2,12,,2,,11,6,6,,8
1148164066,Descent2e,1,ROUND_OVER,148,9,4,43,8,4,1,2,2,12,,2,,12,Dead,6,,5
1148164066,Descent2e,2,ROUND_OVER,171,8,4,43,8,4,3,2,2,12,,2,,12,Dead,5,,Dead
1148164066,Descent2e,3,ROUND_OVER,195,8,4,43,8,4,5,2,2,12,,2,,8,Dead,2,,Dead
1148164066,Descent2e,4,GAME_OVER,203,1,4,43,8,4,5,2,2,12,,2,,8,Dead,Dead,,Dead
-1028648233,Descent2e,0,ROUND_OVER,105,10,4,44,10,4,1,2,2,6,,2,,10,6,6,,8
-1028648233,Descent2e,1,ROUND_OVER,139,9,4,44,10,4,3,2,2,6,,2,,10,Dead,6,,7
-1028648233,Descent2e,2,ROUND_OVER,172,9,4,44,10,4,5,2,2,6,,2,,10,Dead,4,,7
-1028648233,Descent2e,3,ROUND_OVER,195,8,4,44,10,4,7,2,2,6,,2,,10,Dead,Dead,,7
-1028648233,Descent2e,4,GAME_OVER,197,0,4,44,10,4,7,2,2,6,,2,,10,Dead,Dead,,7
1818501865,Descent2e,0,ROUND_OVER,123,10,4,45,10,3,1,2,2,12,,2,,8,6,6,,8
1818501865,Descent2e,1,ROUND_OVER,152,10,4,45,10,3,3,2,2,12,,2,,8,4,5,,8
1818501865,Descent2e,2,ROUND_OVER,205,10,4,45,10,3,5,2,2,12,,2,,8,2,5,,8
1818501865,Descent2e,3,ROUND_OVER,251,9,4,45,10,3,7,2,2,12,,2,,8,Dead,5,,8
1818501865,Descent2e,4,GAME_OVER,252,0,4,45,10,3,7,2,2,12,,2,,8,Dead,5,,8
438663446,Descent2e,0,ROUND_OVER,96,10,4,46,8,4,0,2,2,10,,2,,4,5,6,,8
438663446,Descent2e,1,ROUND_OVER,131,9,4,46,8,4,1,2,2,10,,2,,2,5,6,,8
438663446,Descent2e,2,ROUND_OVER,183,10,4,46,8,4,3,2,2,10,,1,,0,2,6,,8
438663446,Descent2e,3,ROUND_OVER,221,9,4,46,8,4,5,2,2,10,,2,,4,2,6,,8
438663446,Descent2e,4,ROUND_OVER,273,9,4,46,8,4,7,2,2,10,,2,,6,Dead,6,,8
438663446,Descent2e,5,GAME_OVER,274,0,4,46,8,4,7,2,2,10,,2,,6,Dead,6,,8
-581754428,Descent2e,0,ROUND_OVER,98,10,4,47,12,4,1,2,2,10,,2,,14,6,6,,8
-581754428,Descent2e,1,ROUND_OVER,131,10,4,47,8,4,3,2,2,8,,2,,14,6,6,,8
-581754428,Descent2e,2,ROUND_OVER,181,10,4,47,8,4,5,2,2,10,,2,,14,6,6,,4
-581754428,Descent2e,3,ROUND_OVER,214,9,4,47,3,4,7,2,2,8,,2,,14,6,6,,Dead
-581754428,Descent2e,4,GAME_OVER,215,0,4,47,3,4,7,2,2,8,,2,,14,6,6,,Dead
760007605,Descent2e,0,ROUND_OVER,89,9,4,48,11,4,0,2,2,10,,2,,8,6,6,,8
760007605,Descent2e,1,ROUND_OVER,146,10,4,48,8,4,1,2,2,8,,2,,8,6,4,,8
760007605,Descent2e,2,ROUND_OVER,198,10,4,48,1,4,3,2,2,10,,2,,8,6,2,,8
760007605,Descent2e,3,ROUND_OVER,252,10,4,48,0,4,5,2,2,10,,2,,8,6,2,,8
760007605,Descent2e,4,ROUND_OVER,286,9,4,48,3,4,7,2,2,10,,2,,8,Dead,5,,8
760007605,Descent2e,5,GAME_OVER,288,0,4,48,3,4,7,2,2,10,,2,,6,Dead,5,,8
-1487643144,Descent2e,0,ROUND_OVER,97,10,4,49,8,4,1,2,2,14,,2,,10,6,6,,8
-1487643144,Descent2e,1,ROUND_OVER,129,10,4,49,8,4,3,2,2,13,,2,,10,6,6,,8
