GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 2 Archetype,Hero 1 Archetype,Hero 1 Class,Hero 3 Class,Hero 2 Class,Hero 1,Hero 3,Hero 3 Archetype,Hero 2
-1832735679,Descent2e,0,ABOUT_TO_START,0,0,4,13,Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Grisban the Thirsty,Warrior,Avric Albright
-170836685,Descent2e,0,ABOUT_TO_START,0,0,4,14,Healer,Scout,Thief,Berserker,Disciple,Jain Fairwood,Grisban the Thirsty,Warrior,Avric Albright
192253389,Descent2e,0,ABOUT_TO_START,0,0,4,15,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Widow Tarha,Mage,Syndrael
-1288883639,Descent2e,0,ABOUT_TO_START,0,0,4,16,Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Tomble Burrowell,Scout,Widow Tarha
495210545,Descent2e,0,ABOUT_TO_START,0,0,4,17,Warrior,Scout,Thief,Runemaster,Berserker,Tomble Burrowell,Widow Tarha,Mage,Syndrael
623067577,Descent2e,0,ABOUT_TO_START,0,0,4,18,Mage,Warrior,Berserker,Thief,Runemaster,Grisban the Thirsty,Jain Fairwood,Scout,Leoric of the Book
1348299175,Descent2e,0,ABOUT_TO_START,0,0,4,19,Warrior,Healer,Disciple,Runemaster,Berserker,Avric Albright,Widow Tarha,Mage,Grisban the Thirsty
-371345131,Descent2e,0,ABOUT_TO_START,0,0,4,20,Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Jain Fairwood,Scout,Syndrael
1431328153,Descent2e,0,ABOUT_TO_START,0,0,4,21,Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Avric Albright
-538768873,Descent2e,0,ABOUT_TO_START,0,0,4,22,Healer,Mage,Runemaster,Berserker,Disciple,Widow Tarha,Syndrael,Warrior,Avric Albright
-131927630,Descent2e,0,ABOUT_TO_START,0,0,4,23,Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Grisban the Thirsty,Warrior,Ashrian
625973931,Descent2e,0,ABOUT_TO_START,0,0,4,24,Mage,Scout,Thief,Berserker,Runemaster,Jain Fairwood,Syndrael,Warrior,Widow Tarha
-2122080756,Descent2e,0,ABOUT_TO_START,0,0,4,25,Mage,Warrior,Berserker,Disciple,Runemaster,Grisban the Thirsty,Ashrian,Healer,Leoric of the Book
-12038281,Descent2e,0,ABOUT_TO_START,0,0,4,26,Healer,Warrior,Berserker,Thief,Disciple,Syndrael,Tomble Burrowell,Scout,Avric Albright
-1249517663,Descent2e,0,ABOUT_TO_START,0,0,4,27,Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Tomble Burrowell,Scout,Widow Tarha
2136666787,Descent2e,0,ABOUT_TO_START,0,0,4,28,Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Jain Fairwood,Scout,Syndrael
-546977367,Descent2e,0,ABOUT_TO_START,0,0,4,29,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Tomble Burrowell
1617417385,Descent2e,0,ABOUT_TO_START,0,0,4,30,Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Grisban the Thirsty,Warrior,Ashrian
167221652,Descent2e,0,ABOUT_TO_START,0,0,4,31,Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Leoric of the Book,Mage,Ashrian
1685666676,Descent2e,0,ABOUT_TO_START,0,0,4,32,Mage,Healer,Disciple,Berserker,Runemaster,Avric Albright,Grisban the Thirsty,Warrior,Leoric of the Book
1184008882,Descent2e,0,ABOUT_TO_START,0,0,4,33,Scout,Healer,Disciple,Berserker,Thief,Ashrian,Grisban the Thirsty,Warrior,Jain Fairwood
-359467998,Descent2e,0,ABOUT_TO_START,0,0,4,34,Scout,Warrior,Berserker,Disciple,Thief,Syndrael,Avric Albright,Healer,Tomble Burrowell
965886417,Descent2e,0,ABOUT_TO_START,0,0,4,35,Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Ashrian
-33376745,Descent2e,0,ABOUT_TO_START,0,0,4,36,Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Widow Tarha
1399594587,Descent2e,0,ABOUT_TO_START,0,0,4,37,Healer,Mage,Runemaster,Thief,Disciple,Widow Tarha,Tomble Burrowell,Scout,Ashrian
-1240233401,Descent2e,0,ABOUT_TO_START,0,0,4,38,Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Widow Tarha
-1941664333,Descent2e,0,ABOUT_TO_START,0,0,4,39,Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Syndrael,Warrior,Jain Fairwood
367536106,Descent2e,0,ABOUT_TO_START,0,0,4,40,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Leoric of the Book,Mage,Grisban the Thirsty
66846436,Descent2e,0,ABOUT_TO_START,0,0,4,41,Healer,Scout,Thief,Berserker,Disciple,Jain Fairwood,Grisban the Thirsty,Warrior,Avric Albright
977649644,Descent2e,0,ABOUT_TO_START,0,0,4,42,Warrior,Scout,Thief,Runemaster,Berserker,Tomble Burrowell,Widow Tarha,Mage,Syndrael
1148164066,Descent2e,0,ABOUT_TO_START,0,0,4,43,Warrior,Scout,Thief,Disciple,Berserker,Tomble Burrowell,Avric Albright,Healer,Grisban the Thirsty
-1028648233,Descent2e,0,ABOUT_TO_START,0,0,4,44,Healer,Mage,Runemaster,Thief,Disciple,Widow Tarha,Tomble Burrowell,Scout,Ashrian
1818501865,Descent2e,0,ABOUT_TO_START,0,0,4,45,Scout,Mage,Runemaster,Berserker,Thief,Widow Tarha,Syndrael,Warrior,Jain Fairwood
438663446,Descent2e,0,ABOUT_TO_START,0,0,4,46,Mage,Scout,Thief,Disciple,Runemaster,Jain Fairwood,Ashrian,Healer,Widow Tarha
-581754428,Descent2e,0,ABOUT_TO_START,0,0,4,47,Warrior,Healer,Disciple,Runemaster,Berserker,Avric Albright,Widow Tarha,Mage,Grisban the Thirsty
760007605,Descent2e,0,ABOUT_TO_START,0,0,4,48,Mage,Warrior,Berserker,Disciple,Runemaster,Grisban the Thirsty,Ashrian,Healer,Leoric of the Book
-1487643144,Descent2e,0,ABOUT_TO_START,0,0,4,49,Healer,Mage,Runemaster,Berserker,Disciple,Leoric of the Book,Grisban the Thirsty,Warrior,Ashrian
1534946312,Descent2e,0,ABOUT_TO_START,0,0,4,50,Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Tomble Burrowell,Scout,Grisban the Thirsty
-2005403598,Descent2e,0,ABOUT_TO_START,0,0,4,51,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Jain Fairwood
2077430509,Descent2e,0,ABOUT_TO_START,0,0,4,52,Mage,Scout,Thief,Berserker,Runemaster,Tomble Burrowell,Syndrael,Warrior,Widow Tarha
-1038305692,Descent2e,0,ABOUT_TO_START,0,0,4,53,Warrior,Healer,Disciple,Thief,Berserker,Avric Albright,Tomble Burrowell,Scout,Grisban the Thirsty
1531061373,Descent2e,0,ABOUT_TO_START,0,0,4,54,Warrior,Scout,Thief,Runemaster,Berserker,Tomble Burrowell,Widow Tarha,Mage,Grisban the Thirsty
-133206162,Descent2e,0,ABOUT_TO_START,0,0,4,55,Mage,Scout,Thief,Disciple,Runemaster,Jain Fairwood,Avric Albright,Healer,Widow Tarha
-1569778848,Descent2e,0,ABOUT_TO_START,0,0,4,56,Healer,Mage,Runemaster,Thief,Disciple,Widow Tarha,Tomble Burrowell,Scout,Ashrian
-2077309864,Descent2e,0,ABOUT_TO_START,0,0,4,57,Mage,Scout,Thief,Berserker,Runemaster,Tomble Burrowell,Grisban the Thirsty,Warrior,Leoric of the Book
-108824783,Descent2e,0,ABOUT_TO_START,0,0,4,58,Warrior,Scout,Thief,Runemaster,Berserker,Tomble Burrowell,Widow Tarha,Mage,Syndrael
-130405803,Descent2e,0,ABOUT_TO_START,0,0,4,59,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Avric Albright,Healer,Tomble Burrowell
-110105720,Descent2e,0,ABOUT_TO_START,0,0,4,60,Healer,Mage,Runemaster,Thief,Disciple,Leoric of the Book,Tomble Burrowell,Scout,Avric Albright
1416457774,Descent2e,0,ABOUT_TO_START,0,0,4,61,Mage,Scout,Thief,Berserker,Runemaster,Tomble Burrowell,Grisban the Thirsty,Warrior,Leoric of the Book
1426270630,Descent2e,0,ABOUT_TO_START,0,0,4,62,Scout,Mage,Runemaster,Disciple,Thief,Leoric of the Book,Ashrian,Healer,Tomble Burrowell
1234673872,Descent2e,0,ABOUT_TO_START,0,0,4,63,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Jain Fairwood
-903863075,Descent2e,0,ABOUT_TO_START,0,0,4,64,Warrior,Mage,Runemaster,Thief,Berserker,Widow Tarha,Jain Fairwood,Scout,Syndrael
1959499265,Descent2e,0,ABOUT_TO_START,0,0,4,65,Scout,Healer,Disciple,Runemaster,Thief,Ashrian,Leoric of the Book,Mage,Tomble Burrowell
438817316,Descent2e,0,ABOUT_TO_START,0,0,4,66,Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Widow Tarha,Mage,Tomble Burrowell
1872959888,Descent2e,0,ABOUT_TO_START,0,0,4,67,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Jain Fairwood
-22823559,Descent2e,0,ABOUT_TO_START,0,0,4,68,Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Jain Fairwood,Scout,Syndrael
2075102336,Descent2e,0,ABOUT_TO_START,0,0,4,69,Healer,Warrior,Berserker,Thief,Disciple,Syndrael,Tomble Burrowell,Scout,Avric Albright
1055863808,Descent2e,0,ABOUT_TO_START,0,0,4,70,Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Grisban the Thirsty,Warrior,Jain Fairwood
2088372985,Descent2e,0,ABOUT_TO_START,0,0,4,71,Warrior,Healer,Disciple,Thief,Berserker,Avric Albright,Jain Fairwood,Scout,Syndrael
427468798,Descent2e,0,ABOUT_TO_START,0,0,4,72,Mage,Warrior,Berserker,Disciple,Runemaster,Syndrael,Avric Albright,Healer,Leoric of the Book
-1818600187,Descent2e,0,ABOUT_TO_START,0,0,4,73,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Tomble Burrowell
-437019615,Descent2e,0,ABOUT_TO_START,0,0,4,74,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Avric Albright,Healer,Tomble Burrowell
1290999646,Descent2e,0,ABOUT_TO_START,0,0,4,75,Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Syndrael,Warrior,Jain Fairwood
164685239,Descent2e,0,ABOUT_TO_START,0,0,4,76,Mage,Warrior,Berserker,Thief,Runemaster,Grisban the Thirsty,Jain Fairwood,Scout,Widow Tarha
703547109,Descent2e,0,ABOUT_TO_START,0,0,4,77,Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Grisban the Thirsty,Warrior,Leoric of the Book
-1312030273,Descent2e,0,ABOUT_TO_START,0,0,4,78,Scout,Healer,Disciple,Berserker,Thief,Ashrian,Grisban the Thirsty,Warrior,Tomble Burrowell
-1834215313,Descent2e,0,ABOUT_TO_START,0,0,4,79,Warrior,Healer,Disciple,Thief,Berserker,Avric Albright,Tomble Burrowell,Scout,Grisban the Thirsty
951295741,Descent2e,0,ABOUT_TO_START,0,0,4,80,Scout,Warrior,Berserker,Runemaster,Thief,Syndrael,Widow Tarha,Mage,Tomble Burrowell
1990785033,Descent2e,0,ABOUT_TO_START,0,0,4,81,Scout,Warrior,Berserker,Runemaster,Thief,Syndrael,Leoric of the Book,Mage,Jain Fairwood
-1203310738,Descent2e,0,ABOUT_TO_START,0,0,4,82,Healer,Mage,Runemaster,Berserker,Disciple,Widow Tarha,Syndrael,Warrior,Ashrian
-1725370897,Descent2e,0,ABOUT_TO_START,0,0,4,83,Healer,Mage,Runemaster,Thief,Disciple,Leoric of the Book,Jain Fairwood,Scout,Ashrian
-892019237,Descent2e,0,ABOUT_TO_START,0,0,4,84,Scout,Mage,Runemaster,Disciple,Thief,Widow Tarha,Ashrian,Healer,Tomble Burrowell
-1651548995,Descent2e,0,ABOUT_TO_START,0,0,4,85,Scout,Mage,Runemaster,Disciple,Thief,Widow Tarha,Ashrian,Healer,Jain Fairwood
1853651035,Descent2e,0,ABOUT_TO_START,0,0,4,86,Warrior,Healer,Disciple,Runemaster,Berserker,Avric Albright,Leoric of the Book,Mage,Grisban the Thirsty
-24902743,Descent2e,0,ABOUT_TO_START,0,0,4,87,Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Grisban the Thirsty,Warrior,Jain Fairwood
-251801867,Descent2e,0,ABOUT_TO_START,0,0,4,88,Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Tomble Burrowell,Scout,Widow Tarha
525998279,Descent2e,0,ABOUT_TO_START,0,0,4,89,Scout,Healer,Disciple,Runemaster,Thief,Ashrian,Leoric of the Book,Mage,Tomble Burrowell
-1011630636,Descent2e,0,ABOUT_TO_START,0,0,4,90,Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Tomble Burrowell,Scout,Leoric of the Book
-355679580,Descent2e,0,ABOUT_TO_START,0,0,4,91,Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Jain Fairwood,Scout,Widow Tarha
-924210011,Descent2e,0,ABOUT_TO_START,0,0,4,92,Scout,Mage,Runemaster,Disciple,Thief,Widow Tarha,Ashrian,Healer,Tomble Burrowell
1129905595,Descent2e,0,ABOUT_TO_START,0,0,4,93,Healer,Mage,Runemaster,Thief,Disciple,Leoric of the Book,Jain Fairwood,Scout,Avric Albright
1708968205,Descent2e,0,ABOUT_TO_START,0,0,4,94,Mage,Healer,Disciple,Berserker,Runemaster,Avric Albright,Grisban the Thirsty,Warrior,Widow Tarha
1782538645,Descent2e,0,ABOUT_TO_START,0,0,4,95,Mage,Warrior,Berserker,Thief,Runemaster,Grisban the Thirsty,Tomble Burrowell,Scout,Leoric of the Book
-1354647450,Descent2e,0,ABOUT_TO_START,0,0,4,96,Scout,Warrior,Berserker,Runemaster,Thief,Syndrael,Widow Tarha,Mage,Tomble Burrowell
33362573,Descent2e,0,ABOUT_TO_START,0,0,4,97,Scout,Healer,Disciple,Berserker,Thief,Ashrian,Grisban the Thirsty,Warrior,Tomble Burrowell
254262560,Descent2e,0,ABOUT_TO_START,0,0,4,98,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Jain Fairwood
-515585900,Descent2e,0,ABOUT_TO_START,0,0,4,99,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Widow Tarha,Mage,Syndrael
-1944787339,Descent2e,0,ABOUT_TO_START,0,0,4,100,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Leoric of the Book,Mage,Grisban the Thirsty
-1959657368,Descent2e,0,ABOUT_TO_START,0,0,4,101,Healer,Warrior,Berserker,Thief,Disciple,Syndrael,Jain Fairwood,Scout,Avric Albright
1028564309,Descent2e,0,ABOUT_TO_START,0,0,4,102,Warrior,Mage,Runemaster,Thief,Berserker,Widow Tarha,Tomble Burrowell,Scout,Syndrael
-2065662957,Descent2e,0,ABOUT_TO_START,0,0,4,103,Healer,Warrior,Berserker,Thief,Disciple,Grisban the Thirsty,Tomble Burrowell,Scout,Avric Albright
195829685,Descent2e,0,ABOUT_TO_START,0,0,4,104,Healer,Mage,Runemaster,Berserker,Disciple,Leoric of the Book,Grisban the Thirsty,Warrior,Ashrian
-1574897475,Descent2e,0,ABOUT_TO_START,0,0,4,105,Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Leoric of the Book,Mage,Ashrian
-793287773,Descent2e,0,ABOUT_TO_START,0,0,4,106,Healer,Warrior,Berserker,Runemaster,Disciple,Grisban the Thirsty,Leoric of the Book,Mage,Ashrian
-232930549,Descent2e,0,ABOUT_TO_START,0,0,4,107,Warrior,Mage,Runemaster,Thief,Berserker,Widow Tarha,Jain Fairwood,Scout,Grisban the Thirsty
2017869266,Descent2e,0,ABOUT_TO_START,0,0,4,108,Healer,Mage,Runemaster,Thief,Disciple,Leoric of the Book,Tomble Burrowell,Scout,Avric Albright
-537696098,Descent2e,0,ABOUT_TO_START,0,0,4,109,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Avric Albright,Healer,Jain Fairwood
-1880652938,Descent2e,0,ABOUT_TO_START,0,0,4,110,Scout,Healer,Disciple,Berserker,Thief,Ashrian,Syndrael,Warrior,Tomble Burrowell
2053930103,Descent2e,0,ABOUT_TO_START,0,0,4,111,Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Leoric of the Book
72689065,Descent2e,0,ABOUT_TO_START,0,0,4,112,Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Leoric of the Book,Mage,Tomble Burrowell
1102908747,Descent2e,0,ABOUT_TO_START,0,0,4,113,Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Leoric of the Book,Mage,Ashrian
857470131,Descent2e,0,ABOUT_TO_START,0,0,4,114,Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Jain Fairwood,Scout,Grisban the Thirsty
1156667397,Descent2e,0,ABOUT_TO_START,0,0,4,115,Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Widow Tarha,Mage,Avric Albright
1787274215,Descent2e,0,ABOUT_TO_START,0,0,4,116,Healer,Warrior,Berserker,Runemaster,Disciple,Grisban the Thirsty,Leoric of the Book,Mage,Ashrian
-937804275,Descent2e,0,ABOUT_TO_START,0,0,4,117,Scout,Mage,Runemaster,Disciple,Thief,Widow Tarha,Ashrian,Healer,Tomble Burrowell
2020799224,Descent2e,0,ABOUT_TO_START,0,0,4,118,Healer,Mage,Runemaster,Thief,Disciple,Widow Tarha,Tomble Burrowell,Scout,Ashrian
-1261148661,Descent2e,0,ABOUT_TO_START,0,0,4,119,Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Widow Tarha
1602351087,Descent2e,0,ABOUT_TO_START,0,0,4,120,Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Syndrael,Warrior,Tomble Burrowell
176717634,Descent2e,0,ABOUT_TO_START,0,0,4,121,Warrior,Healer,Disciple,Thief,Berserker,Avric Albright,Tomble Burrowell,Scout,Syndrael
1664523560,Descent2e,0,ABOUT_TO_START,0,0,4,122,Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Jain Fairwood,Scout,Syndrael
-2049690953,Descent2e,0,ABOUT_TO_START,0,0,4,123,Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Tomble Burrowell,Scout,Syndrael
316733697,Descent2e,0,ABOUT_TO_START,0,0,4,124,Scout,Healer,Disciple,Runemaster,Thief,Avric Albright,Leoric of the Book,Mage,Tomble Burrowell
1917629113,Descent2e,0,ABOUT_TO_START,0,0,4,125,Mage,Warrior,Berserker,Disciple,Runemaster,Syndrael,Ashrian,Healer,Leoric of the Book
-2068119258,Descent2e,0,ABOUT_TO_START,0,0,4,126,Healer,Warrior,Berserker,Thief,Disciple,Syndrael,Jain Fairwood,Scout,Avric Albright
571662474,Descent2e,0,ABOUT_TO_START,0,0,4,127,Warrior,Mage,Runemaster,Thief,Berserker,Widow Tarha,Jain Fairwood,Scout,Grisban the Thirsty
-129834600,Descent2e,0,ABOUT_TO_START,0,0,4,128,Mage,Healer,Disciple,Thief,Runemaster,Ashrian,Tomble Burrowell,Scout,Widow Tarha
-367298241,Descent2e,0,ABOUT_TO_START,0,0,4,129,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Widow Tarha,Mage,Grisban the Thirsty
1529520095,Descent2e,0,ABOUT_TO_START,0,0,4,130,Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Jain Fairwood,Scout,Leoric of the Book
-378145273,Descent2e,0,ABOUT_TO_START,0,0,4,131,Warrior,Mage,Runemaster,Disciple,Berserker,Leoric of the Book,Ashrian,Healer,Syndrael
-137278190,Descent2e,0,ABOUT_TO_START,0,0,4,132,Warrior,Scout,Thief,Disciple,Berserker,Jain Fairwood,Avric Albright,Healer,Grisban the Thirsty
-1779590791,Descent2e,0,ABOUT_TO_START,0,0,4,133,Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Tomble Burrowell,Scout,Widow Tarha
248032654,Descent2e,0,ABOUT_TO_START,0,0,4,134,Scout,Mage,Runemaster,Berserker,Thief,Widow Tarha,Syndrael,Warrior,Jain Fairwood
-2092379481,Descent2e,0,ABOUT_TO_START,0,0,4,135,Mage,Scout,Thief,Berserker,Runemaster,Tomble Burrowell,Grisban the Thirsty,Warrior,Widow Tarha
-1905237098,Descent2e,0,ABOUT_TO_START,0,0,4,136,Warrior,Scout,Thief,Disciple,Berserker,Tomble Burrowell,Ashrian,Healer,Syndrael
313753588,Descent2e,0,ABOUT_TO_START,0,0,4,137,Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Syndrael,Warrior,Ashrian
1088459323,Descent2e,0,ABOUT_TO_START,0,0,4,138,Mage,Warrior,Berserker,Thief,Runemaster,Grisban the Thirsty,Jain Fairwood,Scout,Widow Tarha
425525007,Descent2e,0,ABOUT_TO_START,0,0,4,139,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Leoric of the Book,Mage,Syndrael
176140337,Descent2e,0,ABOUT_TO_START,0,0,4,140,Mage,Scout,Thief,Disciple,Runemaster,Jain Fairwood,Avric Albright,Healer,Leoric of the Book
-1657262982,Descent2e,0,ABOUT_TO_START,0,0,4,141,Mage,Warrior,Berserker,Disciple,Runemaster,Grisban the Thirsty,Ashrian,Healer,Widow Tarha
487485060,Descent2e,0,ABOUT_TO_START,0,0,4,142,Scout,Warrior,Berserker,Disciple,Thief,Syndrael,Avric Albright,Healer,Tomble Burrowell
937610372,Descent2e,0,ABOUT_TO_START,0,0,4,143,Scout,Healer,Disciple,Runemaster,Thief,Avric Albright,Leoric of the Book,Mage,Tomble Burrowell
289946946,Descent2e,0,ABOUT_TO_START,0,0,4,144,Healer,Warrior,Berserker,Thief,Disciple,Grisban the Thirsty,Jain Fairwood,Scout,Avric Albright
-1279975257,Descent2e,0,ABOUT_TO_START,0,0,4,145,Warrior,Scout,Thief,Disciple,Berserker,Tomble Burrowell,Ashrian,Healer,Syndrael
1443145887,Descent2e,0,ABOUT_TO_START,0,0,4,146,Warrior,Mage,Runemaster,Disciple,Berserker,Leoric of the Book,Avric Albright,Healer,Syndrael
1642592158,Descent2e,0,ABOUT_TO_START,0,0,4,147,Healer,Mage,Runemaster,Berserker,Disciple,Widow Tarha,Grisban the Thirsty,Warrior,Avric Albright
-1257925864,Descent2e,0,ABOUT_TO_START,0,0,4,148,Scout,Mage,Runemaster,Disciple,Thief,Leoric of the Book,Ashrian,Healer,Jain Fairwood
-2086788165,Descent2e,0,ABOUT_TO_START,0,0,4,149,Scout,Healer,Disciple,Runemaster,Thief,Ashrian,Widow Tarha,Mage,Jain Fairwood
1454294430,Descent2e,0,ABOUT_TO_START,0,0,4,150,Warrior,Scout,Thief,Disciple,Berserker,Jain Fairwood,Ashrian,Healer,Syndrael
-1894694341,Descent2e,0,ABOUT_TO_START,0,0,4,151,Mage,Scout,Thief,Disciple,Runemaster,Tomble Burrowell,Avric Albright,Healer,Widow Tarha
1110277337,Descent2e,0,ABOUT_TO_START,0,0,4,152,Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Tomble Burrowell,Scout,Grisban the Thirsty
105181104,Descent2e,0,ABOUT_TO_START,0,0,4,153,Mage,Warrior,Berserker,Disciple,Runemaster,Syndrael,Avric Albright,Healer,Leoric of the Book
1741820661,Descent2e,0,ABOUT_TO_START,0,0,4,154,Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Leoric of the Book,Mage,Grisban the Thirsty
1191131318,Descent2e,0,ABOUT_TO_START,0,0,4,155,Scout,Warrior,Berserker,Runemaster,Thief,Syndrael,Widow Tarha,Mage,Jain Fairwood
1450489765,Descent2e,0,ABOUT_TO_START,0,0,4,156,Mage,Scout,Thief,Berserker,Runemaster,Jain Fairwood,Grisban the Thirsty,Warrior,Leoric of the Book
-1335747697,Descent2e,0,ABOUT_TO_START,0,0,4,157,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Jain Fairwood
1297146937,Descent2e,0,ABOUT_TO_START,0,0,4,158,Warrior,Healer,Disciple,Thief,Berserker,Avric Albright,Tomble Burrowell,Scout,Grisban the Thirsty
-383936935,Descent2e,0,ABOUT_TO_START,0,0,4,159,Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Tomble Burrowell
-78843910,Descent2e,0,ABOUT_TO_START,0,0,4,160,Scout,Healer,Disciple,Berserker,Thief,Ashrian,Syndrael,Warrior,Tomble Burrowell
999413502,Descent2e,0,ABOUT_TO_START,0,0,4,161,Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Leoric of the Book
1698523434,Descent2e,0,ABOUT_TO_START,0,0,4,162,Healer,Warrior,Berserker,Runemaster,Disciple,Grisban the Thirsty,Leoric of the Book,Mage,Ashrian
-1751122673,Descent2e,0,ABOUT_TO_START,0,0,4,163,Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Tomble Burrowell,Scout,Widow Tarha
